
Location		Count
tcm:634-6848			1
tcm:767-9189			1
tcm:378-2233			1
tcm:328-5354			1
tcm:395-2861			1
tcm:943-2476			1
tcm:269-1529			1
tcm:839-9135			1
tcm:572-5336			1
tcm:681-8690			1
tcm:548-6904			1
tcm:555-6023			1
tcm:793-7502			1
tcm:331-2082			1
tcm:534-5660			1
tcm:582-2035			1
tcm:426-8617			1
tcm:129-4541			1
tcm:713-8547			1
tcm:780-3433			1
tcm:970-1600			1
tcm:869-5087			1
tcm:941-4567			1
tcm:414-5272			1
tcm:143-9302			1
tcm:436-6763			1
tcm:133-6385			1
tcm:590-9713			1
tcm:114-6955			1
tcm:579-3590			1
tcm:155-5233			1
tcm:326-8786			1
tcm:922-3806			1
tcm:488-5816			1
tcm:293-6987			1
tcm:835-6720			1
I'd/rather/be/a/bird/than/a/fish.			96
tcm:706-9024			1
tcm:881-6649			1
tcm:148-7020			1
tcm:243-3052			1
tcm:928-7963			1
tcm:512-7215			1
tcm:807-6945			1
tcm:549-7503			1
tcm:553-4523			1
tcm:124-2352			1
tcm:399-7082			1
tcm:356-7775			1
tcm:342-1797			1
tcm:931-7047			1
tcm:742-3734			1
tcm:497-9097			1
tcm:421-9648			1
tcm:279-4344			1
tcm:393-6757			1
tcm:334-1471			1
tcm:537-6798			1
tcm:251-4475			1
tcm:393-6749			1
tcm:465-4112			1
tcm:719-5289			1
tcm:346-4856			1
tcm:551-4079			1
tcm:214-9972			1
tcm:460-2887			1
tcm:525-5128			1
tcm:604-5958			1
tcm:529-6580			1
tcm:334-1468			1
tcm:735-6887			1
tcm:508-4012			1
tcm:616-2302			1
tcm:830-2838			1
tcm:945-7830			1
tcm:228-1108			1
tcm:441-3045			1
tcm:734-3553			1
tcm:368-4267			1
tcm:336-1925			1
tcm:862-5139			1
tcm:517-5044			1
tcm:283-1481			1
tcm:265-2621			1
tcm:789-6119			1
tcm:266-4736			1
tcm:339-7993			1
tcm:974-5309			1
tcm:277-2977			1
tcm:155-5167			1
tcm:840-4558			1
tcm:802-2229			1
tcm:302-7752			1
tcm:102-7157			1
tcm:372-1130			1
tcm:448-6983			1
tcm:679-7766			1
tcm:330-1315			1
tcm:354-2535			1
tcm:271-2445			1
tcm:396-2234			1
tcm:726-3446			1
tcm:758-5912			1
tcm:554-7987			1
tcm:178-5650			1
tcm:683-2243			1
tcm:336-1955			1
tcm:219-1559			1
tcm:506-1307			1
Malls/are/great/places/to/shop;/I/can/find/everything/I/need/under/one/roof.			105
tcm:410-2961			1
tcm:271-1134			1
tcm:324-5298			1
tcm:832-4224			1
tcm:629-7756			1
tcm:569-6846			1
tcm:735-5537			1
tcm:716-7029			1
tcm:976-8041			1
tcm:574-3132			1
tcm:400-7107			1
tcm:277-2984			1
tcm:224-1875			1
tcm:587-4294			1
tcm:494-3042			1
tcm:468-3699			1
tcm:733-2999			1
tcm:779-1456			1
tcm:812-7759			1
tcm:265-3934			1
tcm:901-6120			1
tcm:909-9423			1
tcm:685-6238			1
tcm:764-5754			1
tcm:311-1073			1
tcm:685-7564			1
tcm:428-6541			1
tcm:566-4319			1
tcm:263-4776			1
tcm:718-8870			1
tcm:604-5928			1
tcm:242-1072			1
tcm:953-7951			1
tcm:658-5216			1
tcm:160-1916			1
tcm:326-8837			1
tcm:527-6098			1
tcm:649-9160			1
tcm:330-2624			1
tcm:800-3030			1
tcm:971-5436			1
tcm:750-1429			1
tcm:406-5893			1
tcm:923-5825			1
tcm:488-8151			1
tcm:696-6200			1
tcm:954-9916			1
tcm:261-9240			1
tcm:701-4642			1
tcm:125-5680			1
tcm:566-5658			1
tcm:962-7659			1
tcm:656-8679			1
tcm:666-5514			1
tcm:529-5299			1
tcm:566-4320			1
tcm:629-5111			1
tcm:208-3997			1
tcm:179-6298			1
tcm:386-9867			1
tcm:544-2333			1
tcm:870-6508			1
tcm:451-3753			1
tcm:213-2181			1
tcm:745-7240			1
tcm:246-9814			1
tcm:775-9261			1
tcm:965-6964			1
tcm:554-4065			1
tcm:644-4811			1
tcm:308-7390			1
tcm:292-4980			1
tcm:929-7429			1
tcm:118-8090			1
tcm:650-3315			1
tcm:464-4887			1
tcm:897-1470			1
tcm:882-7320			1
tcm:408-4166			1
tcm:429-7188			1
tcm:937-7587			1
tcm:393-6778			1
tcm:774-8651			1
tcm:463-6291			1
tcm:375-2487			1
tcm:337-7497			1
tcm:900-5526			1
tcm:863-4842			1
tcm:754-4639			1
tcm:632-7582			1
tcm:949-2194			1
tcm:536-4829			1
tcm:396-4852			1
tcm:781-4213			1
tcm:657-5945			1
tcm:824-4192			1
tcm:504-2113			1
tcm:569-9083			1
tcm:684-5406			1
tcm:407-7108			1
tcm:886-6146			1
tcm:725-5746			1
tcm:166-9758			1
tcm:543-5298			1
tcm:327-3234			1
tcm:844-7661			1
tcm:311-1066			1
tcm:772-3226			1
tcm:366-5077			1
tcm:608-4772			1
tcm:344-4371			1
tcm:153-9922			1
tcm:581-7593			1
tcm:753-7386			1
tcm:258-5770			1
tcm:884-8267			1
tcm:894-7609			1
tcm:804-6140			1
tcm:713-4910			1
tcm:927-5971			1
tcm:563-7449			1
tcm:433-4233			1
tcm:139-2514			1
He/ran/out/of/money,/so/he/had/to/stop/playing/poker.			119
tcm:178-4354			1
tcm:528-2037			1
tcm:399-7056			1
tcm:782-8713			1
tcm:450-6647			1
tcm:149-6011			1
tcm:398-1414			1
tcm:749-1928			1
tcm:419-5602			1
tcm:498-6148			1
tcm:698-6700			1
tcm:992-8493			1
tcm:713-1055			1
tcm:676-7967			1
tcm:334-7621			1
tcm:205-5975			1
tcm:239-4146			1
tcm:299-9820			1
tcm:860-2388			1
tcm:397-5611			1
tcm:511-5194			1
tcm:401-9069			1
tcm:447-9918			1
tcm:562-9075			1
tcm:597-7120			1
tcm:568-2241			1
tcm:145-4979			1
tcm:361-9109			1
tcm:653-1360			1
tcm:507-2182			1
tcm:727-1836			1
tcm:926-1450			1
tcm:195-7103			1
tcm:458-7201			1
tcm:959-4739			1
tcm:784-6685			1
tcm:373-8101			1
tcm:244-6235			1
tcm:924-1790			1
tcm:669-9792			1
tcm:680-4196			1
tcm:417-5147			1
tcm:844-1469			1
tcm:689-3171			1
tcm:961-1998			1
tcm:257-7362			1
tcm:268-9243			1
tcm:916-1493			1
tcm:359-5959			1
tcm:302-5170			1
tcm:592-5077			1
tcm:153-3732			1
tcm:389-7932			1
tcm:147-6388			1
tcm:320-3281			1
tcm:157-1307			1
tcm:533-8526			1
tcm:591-5590			1
tcm:743-8054			1
tcm:783-8224			1
tcm:412-6952			1
tcm:265-8779			1
tcm:365-4259			1
tcm:417-6466			1
tcm:487-2658			1
tcm:687-1768			1
tcm:231-2278			1
tcm:407-2264			1
tcm:932-5459			1
tcm:692-3185			1
tcm:650-9468			1
tcm:484-6177			1
tcm:298-8113			1
tcm:498-6137			1
tcm:221-5551			1
tcm:927-2029			1
tcm:445-4577			1
tcm:279-4391			1
tcm:358-7372			1
tcm:568-3595			1
tcm:438-5037			1
tcm:464-8370			1
tcm:664-6324			1
tcm:342-5313			1
tcm:708-3372			1
tcm:569-1981			1
tcm:577-9149			1
tcm:839-4220			1
tcm:213-3423			1
tcm:851-5807			1
tcm:395-6443			1
tcm:324-6515			1
tcm:742-9882			1
tcm:262-8973			1
tcm:476-7366			1
tcm:665-4715			1
tcm:734-9724			1
tcm:677-8575			1
tcm:756-1075			1
tcm:380-8984			1
tcm:446-2993			1
tcm:416-9383			1
tcm:383-8763			1
tcm:225-7282			1
tcm:808-1482			1
tcm:328-1880			1
tcm:697-9684			1
tcm:332-6684			1
tcm:914-1125			1
tcm:271-2441			1
tcm:420-3171			1
tcm:945-5211			1
tcm:690-1750			1
tcm:734-9738			1
tcm:144-5044			1
tcm:506-6178			1
tcm:676-5332			1
tcm:895-9735			1
tcm:486-4074			1
tcm:106-6695			1
tcm:949-3451			1
tcm:465-6740			1
tcm:633-3561			1
tcm:966-2938			1
tcm:191-4771			1
tcm:104-6396			1
tcm:461-8584			1
tcm:260-9786			1
tcm:593-3464			1
tcm:596-7649			1
tcm:184-7893			1
tcm:179-6222			1
tcm:779-8971			1
tcm:268-9285			1
tcm:269-8955			1
tcm:144-5036			1
tcm:300-1949			1
tcm:749-4171			1
tcm:530-6725			1
tcm:270-5160			1
tcm:375-8622			1
tcm:673-2436			1
tcm:523-9847			1
tcm:249-8500			1
tcm:443-8425			1
tcm:292-1088			1
tcm:808-1463			1
tcm:482-1692			1
tcm:779-6301			1
tcm:458-7224			1
tcm:118-3252			1
tcm:606-7346			1
tcm:613-5546			1
tcm:277-7791			1
tcm:741-7920			1
tcm:412-4322			1
tcm:749-4166			1
tcm:604-8124			1
tcm:591-5561			1
tcm:181-5311			1
tcm:899-2479			1
tcm:615-6632			1
tcm:135-4114			1
tcm:292-9691			1
tcm:468-7242			1
tcm:983-1416			1
tcm:319-5842			1
tcm:884-9700			1
tcm:938-4899			1
tcm:575-1578			1
tcm:254-6034			1
tcm:260-3738			1
tcm:966-1419			1
tcm:534-5729			1
tcm:507-8328			1
tcm:802-9767			1
tcm:607-7776			1
tcm:597-2191			1
tcm:356-2876			1
tcm:426-8743			1
tcm:900-1842			1
tcm:936-4192			1
tcm:813-3469			1
tcm:669-9831			1
tcm:190-5133			1
tcm:882-7296			1
tcm:813-2139			1
tcm:188-4202			1
tcm:760-9202			1
tcm:938-3579			1
tcm:252-4893			1
tcm:736-1366			1
tcm:157-6288			1
tcm:520-7356			1
tcm:189-7328			1
tcm:104-2620			1
tcm:559-1159			1
tcm:635-1268			1
tcm:207-3021			1
tcm:574-9226			1
tcm:385-1643			1
tcm:763-4042			1
tcm:437-1157			1
tcm:188-6838			1
tcm:255-8047			1
tcm:408-6949			1
tcm:911-7430			1
tcm:856-5298			1
tcm:388-7040			1
tcm:157-6277			1
tcm:689-2003			1
tcm:889-3934			1
tcm:354-9840			1
tcm:367-9567			1
tcm:200-5482			1
tcm:250-7208			1
tcm:126-4753			1
tcm:829-4325			1
tcm:442-8930			1
tcm:377-1675			1
tcm:542-8157			1
tcm:838-1072			1
tcm:937-3977			1
tcm:858-2017			1
tcm:505-6739			1
tcm:357-4208			1
tcm:794-3304			1
tcm:434-7635			1
tcm:306-8139			1
tcm:175-8075			1
tcm:252-4875			1
tcm:804-8916			1
tcm:324-1586			1
tcm:464-7139			1
tcm:772-9596			1
tcm:270-7715			1
tcm:969-2835			1
tcm:734-8594			1
tcm:453-7037			1
tcm:161-8724			1
tcm:980-2888			1
tcm:729-3168			1
tcm:413-8840			1
tcm:640-6636			1
tcm:669-2394			1
tcm:386-2320			1
tcm:183-9578			1
tcm:594-6682			1
tcm:940-8894			1
tcm:716-2350			1
tcm:961-3030			1
tcm:451-8512			1
tcm:848-5075			1
tcm:730-7111			1
tcm:875-4233			1
tcm:338-9638			1
tcm:435-8127			1
tcm:334-5106			1
tcm:119-5237			1
tcm:387-5043			1
tcm:937-1334			1
tcm:408-5600			1
tcm:721-6200			1
tcm:243-6821			1
tcm:905-8817			1
tcm:783-9624			1
tcm:407-2324			1
tcm:220-6445			1
tcm:950-1818			1
tcm:428-2881			1
tcm:203-4242			1
tcm:988-2279			1
tcm:918-4176			1
tcm:826-2079			1
tcm:161-8747			1
tcm:532-8117			1
tcm:580-6739			1
tcm:774-3640			1
tcm:358-6231			1
tcm:372-8769			1
tcm:261-5548			1
tcm:275-3970			1
tcm:855-3278			1
tcm:448-9137			1
tcm:454-7947			1
tcm:921-6805			1
tcm:592-1348			1
tcm:283-7693			1
tcm:184-6715			1
tcm:504-7128			1
tcm:585-3132			1
tcm:875-5544			1
tcm:819-5185			1
tcm:428-2893			1
tcm:451-9830			1
tcm:640-7938			1
tcm:489-4097			1
tcm:834-8401			1
tcm:826-2065			1
tcm:379-6781			1
tcm:274-9611			1
tcm:777-7296			1
tcm:334-7778			1
tcm:175-5844			1
tcm:615-5339			1
tcm:615-6669			1
tcm:144-8938			1
tcm:801-7512			1
tcm:783-8312			1
tcm:227-5350			1
tcm:694-3443			1
tcm:317-9588			1
tcm:685-8737			1
tcm:943-4955			1
tcm:812-8914			1
tcm:688-6179			1
tcm:585-9300			1
tcm:443-3466			1
tcm:198-3393			1
tcm:607-5189			1
tcm:524-4378			1
tcm:948-7500			1
tcm:513-4315			1
tcm:463-2671			1
tcm:859-1619			1
tcm:785-2478			1
tcm:142-3693			1
tcm:974-6452			1
tcm:387-5074			1
tcm:716-3659			1
tcm:347-6807			1
tcm:499-7889			1
tcm:238-9781			1
tcm:871-7419			1
tcm:170-2197			1
tcm:319-9361			1
tcm:166-8208			1
tcm:504-8448			1
tcm:630-9863			1
tcm:538-2767			1
tcm:922-3940			1
tcm:208-2868			1
tcm:711-8117			1
tcm:513-9103			1
tcm:758-8354			1
tcm:809-2234			1
tcm:415-2566			1
Lets/all/be/unique/together/until/we/realise/we/are/all/the/same.			114
tcm:281-6509			1
tcm:491-5886			1
tcm:783-4771			1
tcm:763-6658			1
tcm:946-1193			1
tcm:901-1296			1
tcm:868-9936			1
tcm:362-6124			1
tcm:273-6349			1
tcm:601-4750			1
tcm:171-8796			1
tcm:774-3600			1
tcm:335-3402			1
tcm:311-8685			1
tcm:488-5985			1
tcm:488-3321			1
tcm:298-4548			1
tcm:100-8620			1
tcm:124-4955			1
tcm:982-4014			1
tcm:534-3166			1
tcm:293-5565			1
tcm:478-1534			1
tcm:175-4548			1
tcm:518-3327			1
tcm:117-5418			1
tcm:971-4202			1
tcm:597-4781			1
tcm:351-1181			1
tcm:151-8055			1
tcm:675-7571			1
tcm:238-7146			1
tcm:178-5499			1
tcm:972-7546			1
tcm:353-6772			1
tcm:633-7185			1
tcm:795-2435			1
tcm:577-4462			1
tcm:979-5578			1
tcm:440-3852			1
tcm:295-3588			1
tcm:369-2721			1
tcm:492-5041			1
tcm:922-1309			1
tcm:112-7655			1
tcm:586-1643			1
tcm:455-6056			1
tcm:657-2009			1
tcm:864-9223			1
tcm:199-6926			1
tcm:441-5847			1
tcm:580-5444			1
tcm:431-7510			1
tcm:619-2365			1
tcm:618-2704			1
tcm:238-9797			1
tcm:127-6778			1
tcm:462-1938			1
tcm:514-5219			1
tcm:988-2214			1
tcm:641-6084			1
tcm:153-7437			1
tcm:481-8075			1
tcm:579-2132			1
tcm:433-5637			1
tcm:619-2373			1
She/wrote/him/a/long/letter,/but/he/didn't/read/it.			99
tcm:167-6740			1
tcm:364-7250			1
tcm:801-6273			1
tcm:162-5983			1
tcm:446-4012			1
tcm:773-7866			1
tcm:768-6121			1
tcm:504-8406			1
tcm:858-2070			1
tcm:702-2474			1
tcm:982-4043			1
tcm:606-3768			1
tcm:724-4983			1
tcm:555-9889			1
tcm:920-4609			1
tcm:689-5969			1
tcm:645-6133			1
tcm:115-5177			1
tcm:923-4689			1
tcm:723-5378			1
tcm:207-4345			1
tcm:720-7951			1
tcm:746-9316			1
tcm:246-6026			1
tcm:954-6123			1
tcm:978-4892			1
tcm:815-3339			1
tcm:398-1396			1
tcm:916-7793			1
tcm:246-7383			1
tcm:556-5612			1
tcm:356-5013			1
tcm:775-5637			1
tcm:197-1383			1
tcm:974-6437			1
tcm:869-1600			1
tcm:795-2461			1
tcm:586-1696			1
tcm:729-5729			1
tcm:946-9922			1
tcm:983-2761			1
tcm:291-7898			1
tcm:783-3497			1
tcm:455-3836			1
tcm:989-4269			1
tcm:754-8036			1
tcm:620-7206			1
tcm:947-9107			1
tcm:440-6088			1
tcm:808-6475			1
tcm:207-6982			1
tcm:155-6445			1
tcm:500-9467			1
tcm:340-2666			1
tcm:583-1959			1
tcm:621-2881			1
tcm:441-4553			1
tcm:368-4324			1
tcm:519-8647			1
tcm:215-3275			1
tcm:791-9844			1
tcm:339-1982			1
tcm:923-3339			1
tcm:878-8549			1
tcm:861-4446			1
tcm:933-4587			1
tcm:266-5963			1
tcm:645-1338			1
tcm:819-7871			1
tcm:696-7627			1
tcm:415-1185			1
tcm:629-7601			1
tcm:215-8013			1
tcm:642-5750			1
tcm:435-3308			1
tcm:396-1005			1
tcm:900-5426			1
tcm:990-8070			1
tcm:539-4709			1
tcm:244-6189			1
tcm:186-4300			1
tcm:162-3241			1
tcm:601-4694			1
tcm:199-4377			1
tcm:704-1520			1
tcm:935-4908			1
tcm:771-1415			1
tcm:595-4598			1
tcm:171-7513			1
tcm:524-5754			1
tcm:521-3494			1
tcm:757-5071			1
tcm:780-4849			1
tcm:973-8181			1
tcm:948-1467			1
tcm:769-7118			1
tcm:658-7967			1
tcm:420-5675			1
tcm:167-1822			1
tcm:251-3033			1
tcm:727-4142			1
tcm:700-6177			1
tcm:936-9088			1
tcm:990-8083			1
tcm:563-7347			1
tcm:648-7068			1
tcm:267-6536			1
tcm:484-1419			1
tcm:141-7946			1
tcm:536-3421			1
tcm:883-6498			1
tcm:299-1153			1
tcm:259-7784			1
tcm:692-6967			1
tcm:840-2015			1
tcm:964-3837			1
tcm:920-8098			1
tcm:367-5994			1
tcm:504-2272			1
tcm:440-1285			1
tcm:224-1767			1
tcm:869-7874			1
tcm:927-4734			1
tcm:175-3298			1
Should/we/start/class/now,/or/should/we/wait/for/everyone/to/get/here?			96
tcm:709-6624			1
tcm:566-4251			1
tcm:779-1349			1
tcm:705-4746			1
tcm:154-4473			1
tcm:607-2974			1
tcm:883-6485			1
tcm:517-7554			1
The/old/apple/revels/in/its/authority.			121
tcm:263-2025			1
tcm:607-2981			1
tcm:833-6459			1
tcm:304-9034			1
tcm:570-9093			1
tcm:356-7620			1
tcm:508-4150			1
tcm:438-2963			1
tcm:468-2480			1
tcm:830-2931			1
tcm:579-8202			1
tcm:797-8958			1
tcm:660-3181			1
tcm:372-2575			1
tcm:810-2551			1
tcm:599-6409			1
tcm:904-5674			1
tcm:452-7706			1
tcm:694-8256			1
tcm:222-8872			1
tcm:136-3889			1
tcm:589-8285			1
tcm:799-5701			1
tcm:720-5242			1
tcm:424-4574			1
tcm:468-1182			1
tcm:995-6690			1
tcm:913-6300			1
tcm:254-2553			1
tcm:205-5895			1
tcm:684-5540			1
tcm:537-5307			1
tcm:189-1257			1
tcm:333-8069			1
tcm:569-9181			1
tcm:504-3586			1
tcm:868-2436			1
tcm:214-6141			1
tcm:705-2150			1
tcm:241-1617			1
tcm:324-5155			1
tcm:574-3031			1
tcm:564-1785			1
tcm:624-1210			1
tcm:810-6096			1
tcm:372-2549			1
tcm:840-4689			1
tcm:966-5002			1
tcm:174-4883			1
tcm:561-4775			1
tcm:797-8937			1
tcm:541-8715			1
tcm:769-7159			1
tcm:969-6418			1
tcm:581-7498			1
tcm:831-3573			1
tcm:590-1129			1
tcm:633-3603			1
tcm:934-2940			1
tcm:530-5567			1
tcm:733-1724			1
tcm:986-1102			1
tcm:447-4935			1
tcm:352-9607			1
tcm:412-4292			1
tcm:406-5758			1
tcm:138-4270			1
tcm:591-9191			1
tcm:605-5356			1
tcm:745-6009			1
tcm:208-1449			1
tcm:518-8134			1
tcm:102-9890			1
tcm:455-3790			1
tcm:691-3732			1
tcm:659-8502			1
tcm:632-8792			1
tcm:348-7476			1
tcm:331-4674			1
tcm:773-1703			1
tcm:265-2757			1
tcm:560-2826			1
tcm:489-6600			1
tcm:504-4896			1
tcm:629-5010			1
tcm:561-4793			1
tcm:729-8023			1
tcm:435-4662			1
tcm:542-4559			1
tcm:672-7883			1
tcm:636-9441			1
tcm:217-9608			1
tcm:282-7116			1
tcm:364-9928			1
tcm:316-2743			1
tcm:752-5545			1
tcm:905-2739			1
tcm:791-7148			1
tcm:668-3178			1
tcm:181-1774			1
tcm:639-5008			1
tcm:246-8622			1
tcm:104-6204			1
tcm:125-4212			1
tcm:196-4383			1
tcm:588-5030			1
tcm:949-2069			1
tcm:844-7548			1
tcm:831-8370			1
tcm:425-7772			1
tcm:830-5135			1
tcm:801-1344			1
tcm:692-3078			1
tcm:820-6494			1
tcm:990-4559			1
tcm:621-7740			1
tcm:624-8699			1
tcm:868-3728			1
tcm:512-4956			1
tcm:276-4693			1
tcm:569-9141			1
tcm:787-2813			1
tcm:362-1224			1
tcm:647-1638			1
tcm:763-1733			1
tcm:147-1458			1
tcm:718-2589			1
tcm:165-1507			1
tcm:206-6436			1
tcm:266-3370			1
tcm:247-9223			1
tcm:476-6180			1
tcm:906-4637			1
tcm:158-3354			1
tcm:251-6942			1
tcm:616-9804			1
tcm:390-4436			1
tcm:150-3875			1
tcm:372-7401			1
tcm:979-1996			1
tcm:709-6690			1
tcm:676-6748			1
tcm:430-3089			1
tcm:252-9704			1
tcm:356-1498			1
tcm:589-8265			1
tcm:125-9097			1
tcm:285-4038			1
tcm:259-6408			1
tcm:280-9406			1
tcm:713-3571			1
tcm:507-2290			1
tcm:220-5067			1
tcm:722-9592			1
tcm:817-9737			1
tcm:877-5361			1
tcm:512-3606			1
tcm:892-4993			1
tcm:715-1641			1
tcm:724-1080			1
tcm:767-4141			1
tcm:504-4860			1
tcm:257-7490			1
tcm:736-8853			1
tcm:191-4825			1
tcm:306-5822			1
tcm:414-5405			1
tcm:596-6402			1
tcm:111-3124			1
tcm:413-8770			1
tcm:623-5450			1
tcm:208-7613			1
tcm:885-6789			1
tcm:203-9044			1
tcm:410-6511			1
tcm:483-4336			1
tcm:965-5778			1
tcm:253-9063			1
tcm:386-4954			1
tcm:875-5462			1
tcm:911-3817			1
tcm:892-1014			1
tcm:715-2993			1
tcm:328-1770			1
tcm:131-5334			1
tcm:474-2733			1
tcm:355-3087			1
tcm:913-5056			1
tcm:977-7800			1
tcm:794-3214			1
tcm:713-4884			1
tcm:859-5214			1
tcm:381-8116			1
tcm:994-2521			1
tcm:773-1765			1
tcm:122-8122			1
tcm:312-3027			1
tcm:728-1244			1
tcm:899-3898			1
tcm:771-1453			1
tcm:307-4288			1
tcm:846-1259			1
tcm:814-7527			1
tcm:718-1290			1
tcm:703-4434			1
tcm:414-6716			1
tcm:519-3856			1
tcm:103-6979			1
tcm:558-5445			1
tcm:623-5438			1
tcm:219-7793			1
tcm:966-2810			1
tcm:410-7865			1
tcm:410-6537			1
tcm:581-8744			1
tcm:410-6538			1
tcm:276-4646			1
tcm:439-4857			1
tcm:883-5194			1
tcm:835-1948			1
tcm:864-5731			1
tcm:919-2000			1
tcm:745-3814			1
tcm:820-5185			1
tcm:985-5323			1
tcm:227-1706			1
tcm:732-6014			1
tcm:964-1219			1
tcm:944-9193			1
tcm:611-6460			1
tcm:224-5241			1
tcm:462-9089			1
tcm:122-8143			1
tcm:436-1753			1
tcm:475-3372			1
tcm:407-9804			1
tcm:297-8748			1
tcm:262-6212			1
tcm:799-4467			1
tcm:221-5636			1
tcm:922-8813			1
tcm:332-6540			1
tcm:904-4309			1
tcm:627-2522			1
tcm:170-9571			1
tcm:898-9440			1
tcm:555-2359			1
tcm:310-1807			1
tcm:330-7563			1
tcm:549-2505			1
tcm:147-2711			1
tcm:865-5036			1
tcm:852-9804			1
tcm:227-8914			1
tcm:657-4397			1
tcm:371-5589			1
tcm:359-8369			1
tcm:927-9731			1
tcm:851-4356			1
tcm:489-2818			1
tcm:139-8500			1
tcm:790-1324			1
tcm:761-1216			1
tcm:453-4921			1
tcm:300-7832			1
tcm:672-2767			1
tcm:153-8448			1
tcm:340-1424			1
tcm:841-2768			1
tcm:220-7621			1
tcm:866-4522			1
tcm:358-7660			1
tcm:645-6221			1
tcm:534-5840			1
tcm:617-9474			1
tcm:503-5276			1
tcm:123-6313			1
tcm:578-3932			1
tcm:583-1653			1
tcm:194-5393			1
tcm:668-5744			1
tcm:320-2213			1
She/only/paints/with/bold/colors;/she/does/not/like/pastels.			103
tcm:378-2046			1
tcm:805-3140			1
tcm:176-8819			1
tcm:986-8458			1
tcm:350-5663			1
tcm:440-9656			1
tcm:777-4725			1
tcm:533-6099			1
tcm:584-2331			1
tcm:238-3713			1
tcm:682-5670			1
tcm:829-6888			1
tcm:832-8007			1
tcm:387-6450			1
tcm:145-9589			1
tcm:790-2661			1
tcm:395-5321			1
tcm:583-2994			1
tcm:668-4408			1
tcm:431-5273			1
tcm:938-3213			1
tcm:606-2353			1
tcm:453-7184			1
tcm:484-7754			1
tcm:444-1868			1
tcm:557-7138			1
tcm:286-6337			1
tcm:173-4149			1
tcm:317-9417			1
tcm:631-8070			1
tcm:560-2598			1
tcm:659-3537			1
tcm:360-8131			1
tcm:148-9417			1
tcm:192-1787			1
tcm:165-6597			1
tcm:173-4132			1
tcm:991-6168			1
tcm:783-3178			1
tcm:829-5530			1
tcm:260-3872			1
tcm:187-4972			1
tcm:924-2826			1
tcm:382-9195			1
tcm:897-6035			1
tcm:587-5700			1
tcm:369-3771			1
tcm:238-3736			1
tcm:813-3362			1
tcm:369-3772			1
tcm:705-8557			1
tcm:308-9803			1
tcm:162-9331			1
tcm:402-8699			1
tcm:549-7393			1
tcm:499-6626			1
tcm:301-8501			1
tcm:894-1782			1
tcm:962-6068			1
tcm:411-9516			1
tcm:167-9297			1
tcm:515-8210			1
tcm:204-7260			1
tcm:973-2170			1
tcm:933-5914			1
tcm:896-7941			1
tcm:600-7878			1
tcm:898-5812			1
tcm:645-7514			1
tcm:195-2517			1
tcm:264-1799			1
tcm:600-7872			1
tcm:275-1411			1
tcm:373-8275			1
tcm:246-1304			1
tcm:697-5817			1
tcm:823-8416			1
tcm:707-1107			1
tcm:704-7836			1
tcm:463-7815			1
tcm:601-8589			1
tcm:464-8117			1
tcm:795-8757			1
tcm:379-4038			1
tcm:845-9039			1
tcm:261-3269			1
tcm:551-6968			1
tcm:837-4469			1
tcm:265-9972			1
tcm:151-4821			1
tcm:192-1750			1
tcm:454-5653			1
tcm:686-7101			1
tcm:272-9085			1
tcm:681-4963			1
tcm:232-3140			1
tcm:656-1499			1
tcm:696-3881			1
tcm:210-4755			1
tcm:102-1125			1
tcm:416-2018			1
tcm:629-2770			1
tcm:663-8040			1
tcm:208-5125			1
tcm:498-8580			1
tcm:372-8887			1
tcm:885-9202			1
tcm:733-7958			1
tcm:772-9692			1
tcm:454-6975			1
tcm:396-7321			1
tcm:463-6508			1
tcm:557-7152			1
tcm:927-9764			1
tcm:876-8346			1
tcm:124-4804			1
tcm:861-9423			1
tcm:387-6477			1
tcm:619-9502			1
tcm:108-4407			1
tcm:532-9336			1
tcm:619-9504			1
tcm:871-4880			1
tcm:658-1562			1
tcm:257-2285			1
tcm:344-8178			1
tcm:969-3806			1
tcm:105-9809			1
tcm:346-8244			1
tcm:124-7070			1
tcm:796-9472			1
tcm:369-3724			1
tcm:685-7765			1
tcm:826-9208			1
tcm:137-4529			1
tcm:513-3346			1
tcm:963-8022			1
tcm:532-4459			1
tcm:995-4061			1
tcm:971-6963			1
tcm:147-3896			1
tcm:510-4702			1
tcm:203-5273			1
tcm:428-8922			1
tcm:789-2822			1
tcm:441-6840			1
tcm:472-7022			1
tcm:466-9916			1
tcm:371-6822			1
tcm:466-1196			1
tcm:934-5335			1
tcm:835-7877			1
tcm:345-2670			1
tcm:771-6387			1
tcm:737-3670			1
tcm:284-9784			1
tcm:700-8636			1
tcm:895-8165			1
tcm:300-1687			1
tcm:316-6129			1
tcm:529-5538			1
tcm:694-3782			1
tcm:744-1846			1
tcm:452-7760			1
tcm:756-7002			1
tcm:683-9802			1
tcm:319-9479			1
tcm:962-6008			1
tcm:925-3583			1
tcm:238-9891			1
tcm:273-8885			1
tcm:877-9074			1
tcm:128-2774			1
tcm:166-7249			1
tcm:854-2851			1
tcm:126-4802			1
tcm:685-7782			1
tcm:340-1484			1
tcm:390-4097			1
tcm:706-5713			1
tcm:403-5854			1
tcm:481-9260			1
tcm:447-3951			1
tcm:174-1338			1
tcm:316-8754			1
tcm:892-7465			1
tcm:914-9636			1
tcm:783-4422			1
tcm:512-7406			1
tcm:556-5524			1
tcm:584-1067			1
